generation,fitness
10889.0,16
10890.0,17
10891.0,12
10892.0,21
10893.0,14
10894.0,17
10895.0,14
10896.0,18
10897.0,18
10898.0,20
10899.0,22
10900.0,17
10901.0,20
10902.0,24
10903.0,15
10904.0,10
10905.0,13
10906.0,11
10907.0,15
10908.0,26
10909.0,14
10910.0,12
10911.0,13
10912.0,15
10913.0,12
10914.0,18
10915.0,13
10916.0,15
10917.0,20
10918.0,16
10919.0,21
10920.0,12
10921.0,16
10922.0,16
10923.0,13
10924.0,12
10925.0,13
10926.0,13
10927.0,18
10928.0,20
10929.0,10
10930.0,20
10931.0,20
10932.0,16
10933.0,15
10934.0,17
10935.0,12
10936.0,17
10937.0,17
10938.0,19
10939.0,19
10940.0,18
10941.0,19
10942.0,15
10943.0,21
10944.0,11
10945.0,13
10946.0,11
10947.0,20
10948.0,16
10949.0,18
10950.0,11
10951.0,16
10952.0,15
10953.0,16
10954.0,19
10955.0,13
10956.0,15
10957.0,19
10958.0,17
10959.0,12
10960.0,17
10961.0,16
10962.0,18
10963.0,18
10964.0,15
10965.0,32
10966.0,19
10967.0,13
10968.0,15
10969.0,20
10970.0,19
10971.0,14
10972.0,19
10973.0,27
10974.0,20
10975.0,23
10976.0,16
10977.0,14
10978.0,12
10979.0,17
10980.0,15
10981.0,13
10982.0,14
10983.0,15
10984.0,16
10985.0,12
10986.0,17
10987.0,12
10988.0,18
10989.0,15
10990.0,17
10991.0,14
10992.0,19
10993.0,21
10994.0,14
10995.0,13
10996.0,13
10997.0,15
10998.0,13
10999.0,15
11000.0,13
11001.0,13
11002.0,14
11003.0,12
11004.0,14
11005.0,13
11006.0,13
11007.0,20
11008.0,18
11009.0,21
11010.0,22
11011.0,14
11012.0,19
11013.0,17
11014.0,21
11015.0,14
11016.0,17
11017.0,22
11018.0,13
11019.0,18
11020.0,21
11021.0,18
11022.0,16
11023.0,18
11024.0,18
11025.0,18
11026.0,13
11027.0,20
11028.0,13
11029.0,16
11030.0,13
11031.0,18
11032.0,16
11033.0,13
11034.0,23
11035.0,24
11036.0,27
11037.0,18
11038.0,14
11039.0,19
11040.0,19
11041.0,12
11042.0,15
11043.0,22
11044.0,21
11045.0,16
11046.0,17
11047.0,13
11048.0,26
11049.0,15
11050.0,12
11051.0,12
11052.0,11
11053.0,12
11054.0,18
11055.0,14
11056.0,23
11057.0,22
11058.0,20
11059.0,18
11060.0,23
11061.0,19
11062.0,17
11063.0,15
11064.0,12
11065.0,17
11066.0,20
11067.0,14
11068.0,17
11069.0,15
11070.0,18
11071.0,17
11072.0,15
11073.0,20
11074.0,14
11075.0,17
11076.0,14
11077.0,18
11078.0,11
11079.0,13
11080.0,19
11081.0,15
11082.0,21
11083.0,14
11084.0,12
11085.0,14
11086.0,14
11087.0,19
11088.0,13
11089.0,17
11090.0,13
11091.0,14
11092.0,17
11093.0,16
11094.0,19
11095.0,18
11096.0,18
11097.0,14
11098.0,14
11099.0,19
11100.0,15
11101.0,18
11102.0,17
11103.0,17
11104.0,17
11105.0,13
11106.0,14
11107.0,19
11108.0,14
11109.0,20
11110.0,13
11111.0,18
11112.0,14
11113.0,12
11114.0,13
11115.0,19
11116.0,14
11117.0,14
11118.0,20
11119.0,11
11120.0,13
